"female","wjtest01","wjtest07","wjtest10","age","cutoff","freelunch","agexcutoff","race"
1,2,9,10,-187,0,1,0,"hispanic"
0,3,1,13,-170,0,0,0,"white"
0,3,4,15,-20,0,1,0,"other"
1,3,4,12,-129,0,1,0,"white"
0,2,10,9,-322,0,1,0,"black"
1,2,7,8,-64,0,1,0,"hispanic"
0,0,5,3,-285,0,1,0,"hispanic"
1,0,1,0,-171,0,1,0,"hispanic"
0,5,7,0,305,1,1,305,"hispanic"
1,9,9,14,152,1,1,152,"black"
0,9,7,15,278,1,1,278,"black"
0,12,11,15,325,1,1,325,"black"
1,7,4,10,84,1,1,84,"black"
1,10,12,11,248,1,1,248,"hispanic"
0,2,3,10,279,1,1,279,"black"
1,5,9,16,354,1,1,354,"black"
1,6,0,2,329,1,1,329,"black"
0,4,7,12,328,1,1,328,"black"
1,8,11,13,359,1,1,359,"black"
0,0,8,0,2,1,1,2,"black"
0,3,8,10,-69,0,1,0,"hispanic"
0,8,4,5,-195,0,1,0,"hispanic"
1,7,11,10,-327,0,1,0,"white"
0,4,4,8,-214,0,1,0,"black"
1,3,6,9,-221,0,1,0,"black"
0,8,5,9,-286,0,1,0,"black"
0,2,3,9,-88,0,1,0,"other"
1,2,8,11,-289,0,1,0,"white"
1,4,7,10,-243,0,1,0,"black"
1,8,0,16,-205,0,1,0,"other"
1,13,0,12,-241,0,1,0,"hispanic"
1,2,8,5,-130,0,1,0,"black"
1,0,0,0,-133,0,1,0,"hispanic"
1,1,3,3,-305,0,1,0,"black"
1,2,14,7,-26,0,1,0,"white"
1,3,7,9,-76,0,1,0,"hispanic"
1,6,7,9,-144,0,1,0,"white"
0,10,5,7,-323,0,1,0,"black"
1,5,10,12,-356,0,1,0,"white"
1,3,6,11,216,1,1,216,"white"
1,3,9,10,343,1,1,343,"black"
1,11,11,10,168,1,1,168,"black"
0,3,5,12,140,1,1,140,"black"
1,13,10,18,317,1,1,317,"black"
1,2,10,10,261,1,1,261,"other"
0,13,6,10,316,1,1,316,"black"
0,3,5,13,228,1,1,228,"other"
0,15,7,2,157,1,1,157,"hispanic"
0,7,7,12,76,1,1,76,"white"
0,10,6,8,108,1,1,108,"black"
1,6,8,7,47,1,1,47,"black"
0,5,6,0,44,1,1,44,"black"
1,9,11,10,242,1,1,242,"black"
0,3,5,10,203,1,1,203,"black"
0,11,6,7,36,1,1,36,"black"
0,4,8,13,20,1,1,20,"hispanic"
0,8,7,12,330,1,1,330,"black"
0,12,8,15,45,1,1,45,"black"
0,12,14,11,269,1,1,269,"white"
1,6,7,11,193,1,1,193,"hispanic"
0,2,5,6,5,1,1,5,"hispanic"
0,2,2,2,216,1,1,216,"other"
0,6,10,17,133,1,1,133,"hispanic"
0,0,7,4,254,1,1,254,"hispanic"
0,6,1,6,8,1,1,8,"black"
0,9,3,13,338,1,1,338,"black"
0,4,9,6,140,1,1,140,"hispanic"
0,6,7,11,218,1,1,218,"other"
1,3,8,10,-345,0,1,0,"white"
1,20,13,9,-119,0,1,0,"white"
0,4,1,7,-60,0,1,0,"hispanic"
1,9,7,11,-77,0,1,0,"hispanic"
1,1,5,8,-318,0,1,0,"black"
